WaveNum,StartTime,EndTime,DurationSec,MaxSpeed_m_s,MaxSpeed_km_h,AvgSpeed_m_s,DisplacementMeters
1,2026-07-23T15:46:48+00:00,2026-07-23T15:47:05+00:00,17,1.132,4.075,0.353,0.00
2,2026-07-23T15:58:30+00:00,2026-07-23T15:59:09+00:00,39,0.999,3.596,0.070,0.00
3,2026-07-23T16:16:05+00:00,2026-07-23T16:16:19+00:00,14,0.668,2.405,0.135,0.00
4,2026-07-23T16:24:34+00:00,2026-07-23T16:24:45+00:00,11,0.691,2.488,0.158,0.00
5,2026-07-23T16:31:54+00:00,2026-07-23T16:32:09+00:00,15,0.354,1.274,0.022,0.00
6,2026-07-23T16:43:34+00:00,2026-07-23T16:43:51+00:00,17,0.349,1.256,0.019,0.00
