WaveNum,StartTime,EndTime,DurationSec,MaxSpeed_m_s,MaxSpeed_km_h,AvgSpeed_m_s,DisplacementMeters
1,2026-07-20T01:06:50+00:00,2026-07-20T01:07:26+00:00,36,2.295,8.262,0.652,0.00
2,2026-07-20T01:17:32+00:00,2026-07-20T01:18:04+00:00,32,1.894,6.818,0.624,0.00
3,2026-07-20T01:27:41+00:00,2026-07-20T01:27:56+00:00,15,1.456,5.242,0.387,0.00
4,2026-07-20T01:38:27+00:00,2026-07-20T01:39:03+00:00,35,1.838,6.617,0.353,0.00
5,2026-07-20T01:57:08+00:00,2026-07-20T01:57:22+00:00,14,2.277,8.197,0.538,0.00
