WaveNum,StartTime,EndTime,DurationSec,MaxSpeed_m_s,MaxSpeed_km_h,AvgSpeed_m_s,DisplacementMeters
1,2026-07-22T19:25:43+00:00,2026-07-22T19:25:58+00:00,15,1.957,7.045,1.448,11.86
2,2026-07-22T19:26:03+00:00,2026-07-22T19:26:18+00:00,15,1.320,4.752,1.069,10.43
3,2026-07-22T19:31:08+00:00,2026-07-22T19:31:15+00:00,7,1.515,5.454,1.090,6.34
4,2026-07-22T19:31:19+00:00,2026-07-22T19:31:30+00:00,11,1.422,5.119,1.300,15.41
5,2026-07-22T19:36:17+00:00,2026-07-22T19:36:29+00:00,12,1.833,6.599,1.440,13.75
6,2026-07-22T19:36:38+00:00,2026-07-22T19:36:48+00:00,10,1.682,6.055,1.347,16.13
7,2026-07-22T20:00:13+00:00,2026-07-22T20:00:20+00:00,7,1.970,7.092,1.561,15.19
8,2026-07-22T20:05:05+00:00,2026-07-22T20:05:14+00:00,9,1.896,6.826,1.623,15.72
