WaveNum,StartTime,EndTime,DurationSec,MaxSpeed_m_s,MaxSpeed_km_h,AvgSpeed_m_s,DisplacementMeters
1,2026-07-19T01:28:05+00:00,2026-07-19T01:28:55+00:00,50,1.372,4.939,0.119,0.00
2,2026-07-19T01:39:24+00:00,2026-07-19T01:39:48+00:00,24,1.997,7.189,0.530,0.00
3,2026-07-19T01:49:19+00:00,2026-07-19T01:49:32+00:00,13,2.146,7.726,0.542,0.00
4,2026-07-19T01:57:35+00:00,2026-07-19T01:58:08+00:00,33,1.885,6.786,0.935,0.00
5,2026-07-19T02:01:35+00:00,2026-07-19T02:01:50+00:00,15,1.782,6.415,0.444,0.00
